"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"114",2493239,"Littleleaf linden","Tilia cordata",10,28.9642429134116,22.6256439389465,"218-31 93 AVENUE",c(-73.7384674959559, 40.7219181382652)
"115",4646804,"Norway maple","Acer platanoides",16,47.5314561531723,33.5487,"151-14 17 ROAD",c(-73.8112008455806, 40.7832162184853)
"116",5978705,"Hophornbeam","Ostrya virginiana",3,25.9600996166913,12.4823080304241,"2393 EAST 21 STREET",c(-73.9493377012412, 40.5940886681372)
"117",3344886,"Pin oak","Quercus palustris",38,108.645319436572,57.3541,"108-32 52 AVENUE",c(-73.8536985852016, 40.7436466177101)
"118",2415187,"London planetree","Platanus x acerifolia",32,80.8766315788498,55.0201,"4380 BEDFORD AVENUE",c(-73.9456966746177, 40.5949324034253)
"119",3486407,"Catalpa","Catalpa",12,44.2654517583316,26.1267600296707,"188-03 WILLIAMSON AVENUE",c(-73.7554367689396, 40.6819173822126)
"120",2502740,"Littleleaf linden","Tilia cordata",16,35.7009459324795,29.5116201106628,"39-40 52 STREET",c(-73.9119935479689, 40.7478038279725)
"121",11189451,"Norway maple","Acer platanoides",10,38.4090105252715,24.8235,"3025 EDGEHILL AVENUE",c(-73.9118815004756, 40.8816253696516)
"122",4627779,"Chinese elm","Ulmus parvifolia",14,52.365028494683,30.1474,"60-65 60 DR",c(-73.9033822277264, 40.7155542730932)
"123",2412897,"Japanese zelkova","Zelkova serrata",14,52.0482984885134,30.2926,"1930 EAST 18 STREET",c(-73.9542753881476, 40.603025056871)
"124",2432053,"London planetree","Platanus x acerifolia",26,72.4199307836137,48.5557,"2558 HARWAY AVENUE",c(-73.9907860595864, 40.5916758088183)
"125",4651410,"London planetree","Platanus x acerifolia",19,61.2918629697943,39.4669,"447 E 96 STREET",c(-73.9165864000745, 40.6567304042749)
"126",16230290,"Red maple","Acer rubrum",2,20.6633895253317,11.084,"91 HOLLY STREET",c(-74.0953436939384, 40.5990613080591)
"127",4009730,"Littleleaf linden","Tilia cordata",5,19.0291564302917,12.4704139112808,"250-16 NORTHERN BOULEVARD",c(-73.7370739930608, 40.7687954957573)
"128",4704279,"Silver maple","Acer saccharinum",1,14.7316759204426,7.04205478181227,"72-19 61 STREET",c(-73.8941430899797, 40.7001919300844)
"129",1452532,"Black cherry","Prunus serotina",10,50.001,22.6793,"22-16 71 STREET",c(-73.8976864397102, 40.7671671743093)
"130",11572610,"American elm","Ulmus americana",21,65.1231070986948,40.9094,"399 CONEY ISLAND AVENUE",c(-73.971397789114, 40.6482565030467)
"131",2417015,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"144 LIBERTY AVENUE",c(-73.9050298908603, 40.673126991656)
"132",4660668,"London planetree","Platanus x acerifolia",30,78.1474078417684,53.0013,"150-09 HOOVER AVENUE",c(-73.8097764109844, 40.7142985807295)
"133",3759661,"London planetree","Platanus x acerifolia",16,55.9377766297601,35.0617,"35 SOUTH PORTLAND AVENUE",c(-73.9748637519239, 40.6885177032859)
"134",1383952,"Japanese zelkova","Zelkova serrata",10,43.109683716783,24.1166,"785 WEST END AVENUE",c(-73.9725908814184, 40.7966932830099)
"135",2110786,"Silver linden","Tilia tomentosa",17,43.8795626581275,30.1818,"205 WEST 84 STREET",c(-73.9766070012953, 40.7866429644408)
"136",2414663,"Norway maple","Acer platanoides",12,41.7190006044185,27.9511,"20 JEROME STREET",c(-73.8888366331929, 40.6815334588047)
"137",1419315,"Sugar maple","Acer saccharum",32,79.0345344911717,41.8441,"38-07 LITTLE NECK PARKWAY",c(-73.7426174410779, 40.7748684221939)
"138",2552090,"Callery pear","Pyrus calleryana",9,25.15,19.2756,"686 EAGLE AVENUE",c(-73.9101955328014, 40.8179414124439)
"139",4622886,"American basswood","Tilia americana",10,46.4327,21.3144,"136-54 39 AVENUE",c(-73.8285446426911, 40.7606540842074)
