"","tree_id","species_common","species_scientific","stump_diameter","height","crown_diameter","closest_address","geometry"
"38991",2130106,"Callery pear","Pyrus calleryana",5,18.6436,12.1804,"870 5 AVENUE",c(-73.9684213000466, 40.7698020544015)
"38992",570579,"Hawthorn","Crataegus",2,14.739310442993,8.37195347142616,"1791 PATTERSON AVENUE",c(-73.8622710106945, 40.8127587487396)
"38993",4241909,"Japanese zelkova","Zelkova serrata",19,61.7556721724497,36.9911,"67-103 EXETER STREET",c(-73.8533870251045, 40.7195939019112)
"38994",2405810,"London planetree","Platanus x acerifolia",34,83.5271027516812,56.9029,"1809 AVENUE O",c(-73.9558423081421, 40.6133213974891)
"38995",4626946,"Norway maple","Acer platanoides",18,50.1387696948152,36.0187,"270 DECATUR STR",c(-73.9326717485619, 40.6815427542731)
"38996",12545178,"Thornless honeylocust","Gleditsia triacanthos var. inermis",3,22.1455056861358,12.3539,"444 WEST 35 STREET",c(-73.9974337058635, 40.7547294812178)
"38997",3343181,"London planetree","Platanus x acerifolia",37,87.3695861664625,59.4721,"30-37 85 STREET",c(-73.8833950670963, 40.7604207377388)
"38998",4706571,"Dawn redwood","Metasequoia glyptostroboides",12,31.9157148775118,13.3490943567208,"141-06 70 ROAD",c(-73.824388791748, 40.7281883474577)
"38999",3989055,"Norway maple","Acer platanoides",13,43.2608486894137,29.4327,"80-29 259 STREET",c(-73.7117443339558, 40.7438948308232)
"39000",1057066,"Silver maple","Acer saccharinum",20,59.3596470938697,38.0232455151944,"723 FRISCO AVENUE",c(-73.7427379079862, 40.6006931010351)
"39001",1429891,"Maple","Acer",28,82.0538332598255,44.1238,"86-01 EDGERTON BOULEVARD",c(-73.7864465560898, 40.7148807305368)
"39002",968303,"Japanese zelkova","Zelkova serrata",33,84.128402626951,49.7087,"2443 SOUTHERN BOULEVARD",c(-73.8813321998807, 40.8545819415103)
"39003",3348300,"Thornless honeylocust","Gleditsia triacanthos var. inermis",14,54.1473413361007,28.2313,"27-20 27 STREET",c(-73.9233625285155, 40.7693307562461)
"39004",3353596,"Japanese flowering cherry","Prunus serrulata",8,39.1027,19.5448,"2012 COLDEN AVENUE",c(-73.8596658275101, 40.8524112607311)
"39005",2144580,"London planetree","Platanus x acerifolia",18,59.5543140906783,38.0325,"217 WEST 136 STREET",c(-73.9441431498873, 40.8163599388411)
"39006",2590247,"Purple leaf plum","Prunus cerasifera",5,28.5709,14.9422,"53 NORTH MADA AVENUE",c(-74.1074440506761, 40.6332425427783)
"39007",1410277,"Norway maple","Acer platanoides",15,46.1607542134736,32.2315,"76-29 VLEIGH PLACE",c(-73.8201814195498, 40.7216740206242)
"39008",1396992,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"8002 COLONIAL ROAD",c(-74.0346787659301, 40.628980939962)
"39009",4124041,"American basswood","Tilia americana",3,22.5802,10.4574,"245-17A 77 CRESCENT",c(-73.725138780724, 40.7434060704218)
"39010",4694143,"Thornless honeylocust","Gleditsia triacanthos var. inermis",20,66.6012277173404,33.3829,"26-03 203 STREET",c(-73.7888038931305, 40.7746521761473)
"39011",4638548,"Callery pear","Pyrus calleryana",6,20.2702,13.9542,"217 BAY 13 STREET",c(-74.0109984710514, 40.6052322082239)
"39012",3606624,"Callery pear","Pyrus calleryana",16,36.5362,31.6922,"20-56 47 STREET",c(-73.8986532440367, 40.7723720582376)
"39013",3988799,"Japanese pagoda tree","Styphnolobium japonicum",12,49.513225689677,25.9637,"86-14 250 STREET",c(-73.7161025558945, 40.7314883307893)
"39014",4684652,"Black cherry","Prunus serotina",16,65.055,29.2109,"463 OLD MILL ROAD",c(-74.1121633865009, 40.5579810930954)
"39015",3733578,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"7 DAVID PLACE",c(-74.1482390966849, 40.6299967569477)
"39016",2626902,"London planetree","Platanus x acerifolia",28,75.3315907697914,50.8465,"87 CEBRA AVENUE",c(-74.0841043893255, 40.6329079058533)
"39017",3361336,"Thornless honeylocust","Gleditsia triacanthos var. inermis",12,49.513225689677,25.9637,"1491 MONTGOMERY AVENUE",c(-73.9210024413517, 40.8476279079244)
"39018",2589581,"Red maple","Acer rubrum",14,61.5963662353135,30.8756,"710 DAVIS AVENUE",c(-74.1074352102541, 40.6255132190779)
"39019",6506894,"Oak","Quercus",9,46.0721,21.6821,"1837 HUNT AVENUE",c(-73.865566330431, 40.8464128672053)
"39020",6026430,"Sweetgum","Liquidambar styraciflua",7,46.2528,15.8364,"236 BEACH 127 STREET",c(-73.8469056973526, 40.577647050208)
"39021",11411002,"American basswood","Tilia americana",5,30.2382,13.7544,"216 EAST 111 STREET",c(-73.9414601273809, 40.7943953169043)
"39022",4643067,"Sweetgum","Liquidambar styraciflua",26,79.0696,41.5377,"919 RHINELANDER AVENUE",c(-73.8605336507045, 40.848824980682)
"39023",2507554,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"11-14 WATERVIEW STREET",c(-73.7676273168877, 40.6042018327644)
"39024",3997842,"Japanese flowering cherry","Prunus serrulata",8,39.1027,19.5448,"89-31 211 STREET",c(-73.7535163160988, 40.7215670708506)
"39025",17500706,"Yoshino cherry","Prunus x yedoensis",2,16.2283,9.751,"31-18 30 STREET",c(-73.9246860477347, 40.7642071962977)
"39026",4670703,"Flowering dogwood","Cornus florida",3,19.3860897390454,13.7909699820072,"79-014 214 STREET",c(-73.7577128949264, 40.7352119784325)
"39027",6123072,"Shingle oak","Quercus imbricaria",3,24.3611,11.2373,"87-57 257 STREET",c(-73.7080150027062, 40.729390316313)
"39028",10088634,"London planetree","Platanus x acerifolia",32,80.8766315788498,55.0201,"600 WEST 249 STREET",c(-73.9098831118482, 40.8965796220619)
"39029",4669469,"Red maple","Acer rubrum",13,59.0867128547922,29.5948,"63-37 76 STREET",c(-73.8795326210067, 40.7185290685404)
"39030",3995650,"Pin oak","Quercus palustris",28,90.237683928597,47.3851,"238 79 STREET",c(-74.0303700025401, 40.6289025593819)
"39031",4707339,"Pin oak","Quercus palustris",28,90.237683928597,47.3851,"66-78 69 STREET",c(-73.8863759255697, 40.7122066014104)
"39032",2500004,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"65-03 110 STREET",c(-73.8465401196079, 40.7320571739094)
"39033",2589817,"Japanese maple","Acer palmatum",5,15.9225688296012,15.1835,"760 OAKLAND AVENUE",c(-74.1086514365658, 40.6224433977542)
"39034",3657597,"London planetree","Platanus x acerifolia",25,70.9247922292391,47.3593,"39-003 48 STREET",c(-73.9156082222183, 40.7490553941841)
"39035",2930790,"Red maple","Acer rubrum",13,59.0867128547922,29.5948,"80 STROUD AVENUE",c(-74.1713598002396, 40.5537359094658)
"39036",4686054,"London planetree","Platanus x acerifolia",26,72.4199307836137,48.5557,"61-011 218 STREET",c(-73.759475684029, 40.7476796350778)
"39037",573423,"London planetree","Platanus x acerifolia",31,79.5223245401372,54.0277,"1275 BRONX RIVER AVENUE",c(-73.882177163035, 40.8306077648489)
"39038",17171880,"Arborvitae","Thuja",1,7.8481,2.8573,"61-57 67 STREET",c(-73.8924390553575, 40.7169443978725)
"39039",12762046,"Cherry","Prunus",2,16.2283,9.751,"2701 INDEPENDENCE AVENUE",c(-73.9178624426037, 40.8819728678763)
"39040",2542757,"London planetree","Platanus x acerifolia",38,88.6177413342546,60.2605,"2801 AVENUE Y",c(-73.9421529082751, 40.5914694816429)
"39041",2413576,"London planetree","Platanus x acerifolia",34,83.5271027516812,56.9029,"2938 QUENTIN ROAD",c(-73.9432061080205, 40.610488710104)
"39042",10196422,"Dawn redwood","Metasequoia glyptostroboides",5,18.8795611464743,7.71549018771967,"201 EAST 71 STREET",c(-73.9608439160369, 40.7689625832861)
"39043",4132347,"Pin oak","Quercus palustris",20,73.5456019919823,37.8259,"183-07 64 AVENUE",c(-73.7900821235616, 40.7379653978137)
"39044",2511777,"Littleleaf linden","Tilia cordata",5,19.0291564302917,12.4704139112808,"66-51 79 PLACE",c(-73.8730399740143, 40.7143335824078)
"39045",1400649,"London planetree","Platanus x acerifolia",26,72.4199307836137,48.5557,"115 BACHE AVENUE",c(-74.1117714634844, 40.5732453544291)
"39046",3769052,"Tuliptree","Liriodendron tulipifera",33,100.749980698838,51.1387,"7 OAK LANE",c(-73.7461369372626, 40.7741214238439)
"39047",4022364,"Kentucky yellowwood","Cladrastis kentukea",6,33.1133722391674,17.5097,"2805 AVENUE N",c(-73.9467737066733, 40.6170175379013)
"39048",4648877,"London planetree","Platanus x acerifolia",17,57.7709571361084,36.5641,"40-17 220 STREET",c(-73.763059234862, 40.7649954889177)
"39049",3347949,"Pin oak","Quercus palustris",37,106.898202071014,56.4562,"94-04 23 AVENUE",c(-73.8760529584713, 40.7681395286681)
"39050",2925781,"Hedge maple","Acer campestre",7,38.1100297094864,19.684,"154 LILY POND AVENUE",c(-74.0643325143977, 40.599730624405)
"39051",509909,"London planetree","Platanus x acerifolia",45,96.9566312791016,64.8273,"45 GANSEVOORT BOULEVARD",c(-74.1276287703224, 40.6114556926131)
"39052",3362416,"London planetree","Platanus x acerifolia",13,50.0887565744746,30.3505,"37-31 89 STREET",c(-73.87761794363, 40.7494824125858)
"39053",2538438,"American basswood","Tilia americana",9,43.531,19.8804,"1535 CHARLOTTE STREET",c(-73.8924984732324, 40.8344275114001)
"39054",4657164,"American basswood","Tilia americana",13,54.1262,25.3824,"7104 19 AVENUE",c(-73.9917013941701, 40.6143643668744)
"39055",15192065,"Crabapple","Malus",3,15.2085130990413,12.2771267145965,"139-007 13 AVENUE",c(-73.8299667453912, 40.7875738873567)
"39056",2538548,"London planetree","Platanus x acerifolia",32,80.8766315788498,55.0201,"4687 BEDFORD AVENUE",c(-73.9442411021383, 40.5873368440001)
"39057",190632,"Silver maple","Acer saccharinum",40,81.9465103863017,56.1692944067998,"103-002 131 STREET",c(-73.8152273402989, 40.6907326165596)
"39058",5146414,"Red maple","Acer rubrum",15,64.0285180010508,32.0894,"25 BURCHARD COURT",c(-74.1790533816638, 40.5415948299814)
"39059",2607975,"Japanese flowering cherry","Prunus serrulata",5,28.5709,14.9422,"1145 OLYMPIA BOULEVARD",c(-74.094749324713, 40.5710044245645)
"39060",3759386,"Swamp white oak","Quercus bicolor",14,60.4356,29.5721,"404 GRAND AVENUE",c(-73.9620041438692, 40.6843201658969)
"39061",4686544,"London planetree","Platanus x acerifolia",26,72.4199307836137,48.5557,"63-44 82 PLACE",c(-73.8729076422269, 40.7213051339219)
"39062",257218,"London planetree","Platanus x acerifolia",38,88.6177413342546,60.2605,"4124 BEDFORD AVENUE",c(-73.9468978226116, 40.6013612825449)
"39063",1429821,"Thornless honeylocust","Gleditsia triacanthos var. inermis",19,64.6476906327177,32.6963,"63-19 BOURTON STREET",c(-73.8671308695505, 40.72542124331)
"39064",2143871,"Thornless honeylocust","Gleditsia triacanthos var. inermis",12,49.513225689677,25.9637,"233 WEST 140 STREET",c(-73.9433891717881, 40.8193266124437)
"39065",4649498,"American basswood","Tilia americana",5,30.2382,13.7544,"151-55 10 AVENUE",c(-73.8112515603811, 40.7933498761494)
"39066",4648139,"Pin oak","Quercus palustris",14,59.209556171167,29.7325,"12 RUSSEK DRIVE",c(-74.2006341937955, 40.5513608937621)
"39067",15674066,"Kentucky yellowwood","Cladrastis kentukea",3,22.1455056861358,12.3539,"113-014 209 STREET",c(-73.746313387164, 40.7031614434304)
"39068",1455122,"Red maple","Acer rubrum",18,70.9280276409604,35.3288,"206-06 RICHLAND AVENUE",c(-73.7647135067042, 40.7340846735032)
"39069",11142853,"Silver linden","Tilia tomentosa",3,20.892418398207,9.8384,"104 EAST 98 STREET",c(-73.9511549033955, 40.7876587730867)
"39070",2491191,"Serviceberry","Amelanchier",3,18.8086,11.182,"90-09 221 PLACE",c(-73.739071602139, 40.7279525122019)
"39071",3348444,"Thornless honeylocust","Gleditsia triacanthos var. inermis",4,26.1697783580996,14.1413,"41-17 95 STREET",c(-73.870120386451, 40.7464906575734)
"39072",2491340,"Littleleaf linden","Tilia cordata",17,36.569896824361,30.3998253824332,"81-12 256 STREET",c(-73.7138790577532, 40.7417729608525)
"39073",3602147,"Thornless honeylocust","Gleditsia triacanthos var. inermis",5,29.7883615251004,15.8599,"114-17 139 STREET",c(-73.804036167416, 40.6827844404008)
"39074",13073064,"Swamp white oak","Quercus bicolor",3,24.3611,11.2373,"3636 WALDO AVENUE",c(-73.9055360790214, 40.8858746186945)
"39075",12250412,"Sweetgum","Liquidambar styraciflua",3,27.2276,9.7448,"70 FRANKLIN AVENUE",c(-73.9562569774554, 40.6840656050666)
"39076",3763167,"Japanese pagoda tree","Styphnolobium japonicum",13,51.8677187405179,27.1319,"59-12 37 AVENUE",c(-73.9032422308719, 40.749869094971)
"39077",3347133,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"81 DOUGLASS STREET",c(-73.9919163618675, 40.6832803963546)
"39078",2146318,"American elm","Ulmus americana",8,38.8936005734481,21.0844,"430 WEST 162 STREET",c(-73.9385622234642, 40.8350760641253)
"39079",3877213,"London planetree","Platanus x acerifolia",34,83.5271027516812,56.9029,"132-18 133 STREET",c(-73.811562309801, 40.6873917702468)
"39080",2560844,"London planetree","Platanus x acerifolia",35,84.8249425935068,57.7933,"36 BAY STREET",c(-73.7901133172676, 40.8471977775714)
"39081",15192065,"Crabapple","Malus",3,15.2085130990413,12.2771267145965,"139-007 13 AVENUE",c(-73.8299667453912, 40.7875738873567)
"39082",11325885,"Peking tree lilac","Syringa pekinensis",3,15.8824903068222,7.5760566536646,"177-17 106 AVENUE",c(-73.7801435051664, 40.7032008410957)
"39083",15023565,"Red maple","Acer rubrum",18,70.9280276409604,35.3288,"69-02 COOPER AVENUE",c(-73.8824497491504, 40.7008612836003)
"39084",2150241,"American elm","Ulmus americana",19,61.7333842774806,38.284,"79 BARROW STREET",c(-74.0059787250545, 40.7316020883036)
"39085",206122,"American sycamore","Platanus occidentalis",24,83.3912402844454,40.9835262181411,"344 FANNING STREET",c(-74.1226697888658, 40.6038991734858)
"39086",4626879,"London planetree","Platanus x acerifolia",27,73.8883839123773,49.7181,"2163 W 10 STREET",c(-73.9810167753901, 40.5946746757775)
"39087",228120,"Callery pear","Pyrus calleryana",8,23.5234,17.5018,"26 ELVIN STREET",c(-74.1228739056911, 40.6110985606837)
"39088",10618435,"Japanese zelkova","Zelkova serrata",7,35.3044734829027,19.0079,"303 E 94 STREET",c(-73.9475439619496, 40.7827441126545)
"39089",2244678,"Silver maple","Acer saccharinum",15,51.9241995194957,32.3385966054757,"1107 ALLERTON AVENUE",c(-73.8553070486307, 40.8654404733987)
"39090",4696397,"London planetree","Platanus x acerifolia",31,79.5223245401372,54.0277,"843 THOMAS S BOYLAND STREET",c(-73.9111220616955, 40.659811446397)
"39091",3663333,"Norway maple","Acer platanoides",16,47.5314561531723,33.5487,"1922 LURTING AVENUE",c(-73.8559222652393, 40.8518165341635)
"39092",5280211,"Arborvitae","Thuja",4,14.5963,6.0397,"650 EAST 38 STREET",c(-73.94064110214, 40.6395794537303)
"39093",3649787,"London planetree","Platanus x acerifolia",15,54.0501274436209,33.5253,"293 STERLING PLACE",c(-73.9683072559008, 40.6756485900725)
"39094",15904204,"Crabapple","Malus",3,15.2085130990413,12.2771267145965,"78-04 67 DRIVE",c(-73.8749133999142, 40.7117335970913)
"39095",1414910,"Japanese flowering cherry","Prunus serrulata",6,32.2827,16.5418,"61-027 232 STREET",c(-73.7463449688663, 40.7507859817999)
"39096",4677727,"Littleleaf linden","Tilia cordata",10,28.9642429134116,22.6256439389465,"1441 41 STREET",c(-73.9840347901062, 40.6374499877368)
"39097",2927296,"London planetree","Platanus x acerifolia",29,76.7508646321871,51.9409,"201 BRYANT AVENUE",c(-74.1095542075272, 40.5755037209863)
"39098",231790,"London planetree","Platanus x acerifolia",29,76.7508646321871,51.9409,"1427 EAST 35 STREET",c(-73.9406196282219, 40.6191691861795)
"39099",5785198,"Japanese pagoda tree","Styphnolobium japonicum",9,41.8993010198842,22.0463,"2562 EAST 19 STREET",c(-73.9506701276875, 40.5890031333491)
"39100",13071804,"Pin oak","Quercus palustris",3,23.2114666861234,12.8376,"3995 HILLMAN AVENUE",c(-73.8906141718589, 40.8837205842204)
"39101",4698158,"Pin oak","Quercus palustris",16,64.2162750647063,32.5183,"160-06 24 AVENUE",c(-73.8037289897884, 40.7761250448931)
"39102",2138027,"Callery pear","Pyrus calleryana",7,21.8968,15.728,"202 EAST 77 STREET",c(-73.9579244493082, 40.7728179126786)
"39103",3684668,"Eastern redbud","Cercis canadensis",3,22.1455056861358,12.3539,"225 PARK LANE",c(-73.7496954599292, 40.7744970052982)
"39104",1558766,"London planetree","Platanus x acerifolia",24,69.4013855743737,46.1289,"2263 EAST 65 STREET",c(-73.9086832180943, 40.6141335142782)
"39105",266101,"Sweetgum","Liquidambar styraciflua",19,78.042,32.6904,"157-11 24 AVENUE",c(-73.8060458531598, 40.7765132326093)
"39106",3662694,"Callery pear","Pyrus calleryana",17,38.1628,33.466,"501 WOODWARD AVENUE",c(-73.909922453903, 40.707399393767)
"39107",4657347,"Japanese pagoda tree","Styphnolobium japonicum",8,39.1307213513204,20.6029,"67-38 171 STREET",c(-73.798487143409, 40.7341267681094)
"39108",1438067,"Pin oak","Quercus palustris",11,51.1355799803532,25.3888,"222-01 145 AVENUE",c(-73.756634334219, 40.6639854887573)
"39109",2940441,"Callery pear","Pyrus calleryana",4,17.017,10.4066,"335 ELTINGVILLE BOULEVARD",c(-74.1662668060563, 40.5533234393489)
"39110",4127937,"Littleleaf linden","Tilia cordata",14,33.7870004225744,27.5552650304602,"1965 WEST 10 STREET",c(-73.981861730504, 40.5991817709863)
"39111",16831539,"Norway maple","Acer platanoides",16,47.5314561531723,33.5487,"15-23 146 PLACE",c(-73.8192891349563, 40.785979414966)
"39112",1386230,"Silver maple","Acer saccharinum",35,77.0109730008294,52.1021087929414,"88-17 78 STREET",c(-73.8629481423182, 40.6891881603684)
"39113",2503824,"London planetree","Platanus x acerifolia",23,67.8479636601674,44.8645,"60-11 44 AVENUE",c(-73.9041954292692, 40.7420747991915)
"39114",3366912,"London planetree","Platanus x acerifolia",2,18.5076652728003,10.4581,"70-31 108 STREET",c(-73.8439657910025, 40.7219914205521)
"39115",4820749,"Quaking aspen","Populus tremuloides",10,52.1178,11.5116,"80-15 AUSTIN STREET",c(-73.8328062074221, 40.712374568075)
"39116",4154866,"Norway maple","Acer platanoides",14,44.7391337160695,30.8595,"1350 54 STREET",c(-73.9937204106817, 40.6314453292658)
"39117",1431019,"London planetree","Platanus x acerifolia",22,66.2625897610565,43.5661,"120-18 238 STREET",c(-73.7272582007368, 40.6849693717478)
"39118",4683144,"Norway maple","Acer platanoides",15,46.1607542134736,32.2315,"143 MAPLE STREET",c(-73.9558002657519, 40.6604987829751)
"39119",1040316,"Cornelian cherry dogwood","Cornus mas",4,20.6756217389598,15.4126695697731,"74 HIGHLAWN AVENUE",c(-73.9833912173571, 40.6029643326592)
"39120",4660837,"Japanese pagoda tree","Styphnolobium japonicum",21,68.5141862834549,34.0007,"79-16 151 AVENUE",c(-73.8553988225749, 40.6669379892411)
"39121",2251437,"Green ash","Fraxinus pennsylvanica",17,58.1227115554945,32.4930776257286,"2133 LURTING AVENUE",c(-73.8584053350987, 40.8553163634504)
"39122",2920248,"Callery pear","Pyrus calleryana",9,25.15,19.2756,"163 CAMDEN AVENUE",c(-74.2296382897802, 40.5086272967305)
"39123",15267568,"American elm","Ulmus americana",3,23.0339409899832,11.7224,"2616 NATIONAL DRIVE",c(-73.9026368311137, 40.6059984651991)
"39124",2642555,"Pin oak","Quercus palustris",29,92.1833137237465,48.481,"11 FOREST ROAD",c(-74.1011463152267, 40.5928585878774)
"39125",1390891,"London planetree","Platanus x acerifolia",15,54.0501274436209,33.5253,"1842 CROSS BRONX EXPRESSWAY SR SOUTH",c(-73.8647309438841, 40.8341979223061)
"39126",1383313,"Norway maple","Acer platanoides",4,25.3517018861432,14.1255,"284 VINELAND AVENUE",c(-74.188310156859, 40.546471286602)
"39127",2130964,"Japanese pagoda tree","Styphnolobium japonicum",17,60.6061895040538,31.1167,"27 EAST 63 STREET",c(-73.9691018446338, 40.7658772597257)
"39128",2250255,"Serviceberry","Amelanchier",5,25.2558,14.625,"1122 EAST 180 STREET",c(-73.8748823783281, 40.8416365742179)
"39129",3726846,"Sawtooth oak","Quercus acutissima",8,42.7926,20.0153,"831 LAFAYETTE AVENUE",c(-73.9391779350146, 40.69126835922)
"39130",10118278,"London planetree","Platanus x acerifolia",28,75.3315907697914,50.8465,"302 EAST 46 STREET",c(-73.9345911555544, 40.654480351808)
"39131",1443885,"Japanese zelkova","Zelkova serrata",20,63.5552796708085,38.1946,"19-36 79 STREET",c(-73.8912055111077, 40.772085303193)
"39132",3734402,"Littleleaf linden","Tilia cordata",15,34.7758959474583,28.5660726913284,"176-25 133 ROAD",c(-73.7644515726561, 40.6765070078332)
"39133",4006150,"Green ash","Fraxinus pennsylvanica",14,52.7301422266944,28.8762380738771,"87-01 254 STREET",c(-73.7120389368533, 40.7308414545436)
"39134",1059645,"Japanese flowering cherry","Prunus serrulata",7,35.7933,18.076,"1102 AVENUE L",c(-73.9639570850401, 40.6200105441786)
"39135",4658264,"Norway maple","Acer platanoides",19,51.383064470232,37.1715,"1762 EAST 28 STREET",c(-73.9453186010257, 40.6081127417032)
"39136",3999829,"Japanese flowering cherry","Prunus serrulata",8,39.1027,19.5448,"14-40 165 STREET",c(-73.7975547560757, 40.7880457561249)
"39137",4612763,"Silver linden","Tilia tomentosa",4,23.628573653268,11.4748,"2084 EAST 67 STREET",c(-73.9102595136772, 40.6177798426945)
"39138",2410246,"London planetree","Platanus x acerifolia",22,66.2625897610565,43.5661,"1649 WEST 4 STREET",c(-73.9775450867498, 40.6070256373681)
"39139",2608051,"London planetree","Platanus x acerifolia",34,83.5271027516812,56.9029,"194 GREELEY AVENUE",c(-74.1079659410392, 40.5772454313634)
"39140",4123767,"London planetree","Platanus x acerifolia",20,62.9871033246594,40.8673,"89-15 FRANCIS LEWIS BOULEVARD",c(-73.7578369987164, 40.7189357713602)
"39141",12830195,"Japanese flowering cherry","Prunus serrulata",3,20.5437,11.5468,"76-011 263 STREET",c(-73.7109237546347, 40.7492011476893)
"39142",1410942,"Maple","Acer",3,23.8492392151851,12.0888,"98-19 64 AVENUE",c(-73.8577504794149, 40.730504310717)
"39143",3744974,"Green ash","Fraxinus pennsylvanica",34,82.2834342998377,49.517291255082,"90 PILLING STREET",c(-73.9069317008296, 40.6846291535786)
"39144",6359200,"Hophornbeam","Ostrya virginiana",2,20.1962457707808,10.0914283115263,"84-06 104 STREET",c(-73.8449352706273, 40.6991535260322)
"39145",3648403,"Pin oak","Quercus palustris",15,61.7456617049675,31.1364,"382 CLINTON STREET",c(-73.9974472497812, 40.6838652884158)
"39146",3355106,"Littleleaf linden","Tilia cordata",6,21.6424260002865,15.1415888077133,"33-17 109 STREET",c(-73.860187486442, 40.7572878557143)
"39147",2512783,"Japanese pagoda tree","Styphnolobium japonicum",27,79.2734855927871,36.2627,"102-12 NICOLLS AVENUE",c(-73.8612599255982, 40.7449652212365)
"39148",1453931,"Green ash","Fraxinus pennsylvanica",14,52.7301422266944,28.8762380738771,"34-05 30 STREET",c(-73.9283188428937, 40.7597328366596)
"39149",575131,"Japanese flowering cherry","Prunus serrulata",7,35.7933,18.076,"128 TARGEE STREET",c(-74.0837183809112, 40.6238888054662)
"39150",1403778,"London planetree","Platanus x acerifolia",22,66.2625897610565,43.5661,"102-11 135 STREET",c(-73.8123589153987, 40.6926136360907)
"39151",14503565,"Kentucky coffeetree","Gymnocladus dioicus",4,26.1697783580996,14.1413,"182-011 80 DRIVE",c(-73.7849023484765, 40.726150614554)
"39152",1058919,"Callery pear","Pyrus calleryana",6,20.2702,13.9542,"269 BEAUMONT STREET",c(-73.9506872792648, 40.575528905536)
"39153",10802758,"Thornless honeylocust","Gleditsia triacanthos var. inermis",3,22.1455056861358,12.3539,"84-37 123 STREET",c(-73.8288624675083, 40.7043924747209)
"39154",2250906,"Northern red oak","Quercus rubra",8,43.7193,19.9652,"2420 MORRIS AVENUE",c(-73.9002643518489, 40.8609785496606)
"39155",4143835,"Pin oak","Quercus palustris",55,136.02760503031,69.2524,"146-36 22 AVENUE",c(-73.8198886093836, 40.7792941663193)
"39156",4027302,"London planetree","Platanus x acerifolia",36,86.1055374353291,58.6497,"111-01 113 STREET",c(-73.8261880654275, 40.6788154026542)
"39157",4140308,"London planetree","Platanus x acerifolia",30,78.1474078417684,53.0013,"61-006 217 STREET",c(-73.7603213499772, 40.7473602611365)
"39158",3988359,"Thornless honeylocust","Gleditsia triacanthos var. inermis",17,60.6061895040538,31.1167,"82-17 258 STREET",c(-73.7113236402365, 40.7402075562552)
"39159",2508153,"Japanese zelkova","Zelkova serrata",5,29.2413917425441,15.3751,"6-006 BEACH 8 STREET",c(-73.7433239007287, 40.6009496785354)
"39160",4596559,"American hornbeam","Carpinus caroliniana",3,22.9506775479271,16.4129702694662,"945 EAST 26 STREET",c(-73.9509153386404, 40.627674661911)
"39161",5013218,"Mulberry","Morus",6,26.9659256293234,19.9084675143037,"44 PENNYFIELD AVENUE",c(-73.8025148808523, 40.8093178207126)
"39162",5786109,"Kentucky yellowwood","Cladrastis kentukea",3,22.1455056861358,12.3539,"223-01 130 AVENUE",c(-73.7432834601839, 40.6835844411996)
"39163",1745191,"London planetree","Platanus x acerifolia",35,84.8249425935068,57.7933,"70-21 67 STREET",c(-73.8875079845356, 40.7039981189775)
"39164",4139592,"Maple","Acer",19,66.212127648712,36.8248,"60-63 84 STREET",c(-73.8747077858458, 40.7270903170536)
"39165",5266133,"Mulberry","Morus",20,48.2760559018259,29.8658041952009,"11-41 SAGE STREET",c(-73.745245877292, 40.6068799953538)
"39166",2919381,"Callery pear","Pyrus calleryana",15,34.9096,29.9184,"150 SHIEL AVENUE",c(-74.2173272769146, 40.5446990337404)
"39167",2608134,"Red maple","Acer rubrum",23,81.3900397233825,39.3878,"262 POULTNEY STREET",c(-74.1006499926704, 40.574125740371)
"39168",3654526,"Japanese tree lilac","Syringa reticulata",7,18.0854550323924,10.645986054762,"4338 ELY AVENUE",c(-73.8481771761193, 40.8972203455123)
"39169",4629625,"Callery pear","Pyrus calleryana",4,17.017,10.4066,"101- 123 STREET",c(-73.8226815478834, 40.6904726107785)
"39170",3640186,"Japanese zelkova","Zelkova serrata",7,35.3044734829027,19.0079,"240 ATLANTIC AVENUE",c(-73.9907076871636, 40.6891376466619)
"39171",4645371,"Callery pear","Pyrus calleryana",14,33.283,28.1446,"2158 BATCHELDER STREET",c(-73.9388042563947, 40.5994386441186)
"39172",1408107,"Ginkgo","Ginkgo biloba",14,55.3084,30.6918,"31-23 23 AVENUE",c(-73.912168530808, 40.7738515889424)
"39173",1415412,"London planetree","Platanus x acerifolia",21,64.6431073461329,42.2337,"46-16 OCEANIA STREET",c(-73.7730445907276, 40.7564794113907)
"39174",1513936,"Callery pear","Pyrus calleryana",18,39.7894,35.2398,"1135 EAST 72 STREET",c(-73.9158166528596, 40.6269543980821)
"39175",1422271,"Japanese flowering cherry","Prunus serrulata",5,28.5709,14.9422,"65-12 171 STREET",c(-73.7983545489016, 40.7362098093764)
"39176",4626168,"London planetree","Platanus x acerifolia",24,69.4013855743737,46.1289,"1067 E 52 STREET",c(-73.926526326416, 40.6340240851217)
"39177",2548494,"Japanese flowering cherry","Prunus serrulata",1,11.7117,7.8898,"1003 EAST 217 STREET",c(-73.8552397840486, 40.8797320256374)
"39178",15102877,"Elm","Ulmus",3,22.059452975591,11.4914,"521 83 STREET",c(-74.0244488418565, 40.6232442141761)
