level,taxon,model,B0,B1,B2,,,,,
Species,Acer platanoides,e^(B0 + (ln(DBH) * B1)),2.6043,0.4534,,,,,,
Species,Acer pseudoplatanus,e^(B0 + (ln(DBH) * B1)),2.5842,0.54,,,,,,
Species,Acer rubrum,e^(B0 + (ln(DBH) * B1)),2.6393,0.5613,,,,,,
Species,Acer saccharinum,e^(B0 + (ln(DBH) * B1)),2.69,0.4652,,,,,,
Species,Acer saccharum,B0 + (ln(DBH) * B1),11.3449,19.5311,,,,,,
Species,Betula papyrifera,e^(B0 + (ln(DBH) * B1)),2.8698,0.4381,,,,,,
Species,Betula pendula,B0 + (ln(DBH) * B1),17.7323,10.4284,,,,,,
Species,Betula populifolia,e^(B0 + (ln(DBH) * B1)),2.575,0.5303,,,,,,
Species,Carpinus caroliniana,e^(B0 + (ln(DBH) * B1)),2.783,0.3189,,,,,,
Species,Carya alba,B0 + (DBH * B1) + (DBH^2 * B2),9.3934,6.5955,-0.1521,,,,,
Species,Carya cordiformis,B0 + (DBH * B1) + (DBH^2 * B2),6.4104,6.3745,-0.083,,,,,
Species,Carya glabra,e^(B0 + (ln(DBH) * B1)),2.6764,0.5947,,,,,,
Species,Carya illinoinensis,e^(B0 + (ln(DBH) * B1)),2.7997,0.4137,,,,,,
Species,Carya ovata,e^(B0 + (ln(DBH) * B1)),2.6684,0.6181,,,,,,
Species,Catalpa speciosa,e^(B0 + (ln(DBH) * B1)),2.4414,0.5456,,,,,,
Species,Celtis laevigata,e^(B0 + (ln(DBH) * B1)),2.6831,0.4544,,,,,,
Species,Celtis occidentalis,e^(B0 + (ln(DBH) * B1)),2.3792,0.6343,,,,,,
Species,Cornus florida,e^(B0 + (ln(DBH) * B1)),2.6208,0.3129,,,,,,
Species,Eucalyptus globulus,e^(B0 + (ln(DBH) * B1)),2.6534,0.5052,,,,,,
Species,Fagus grandifolia,B0 + (DBH * B1) + (DBH^2 * B2),8.68,5.9536,-0.1094,,,,,
Species,Fraxinus americana,B0 + (DBH * B1) + (DBH^2 * B2),9.0318,6.2878,-0.1428,,,,,
Species,Fraxinus pennsylvanica,e^(B0 + (ln(DBH) * B1)),2.6417,0.5015,,,,,,
Species,Ilex opaca,B0 + (DBH * B1) + (DBH^2 * B2),4.1301,3.8555,-0.1097,,,,,
Species,Juglans nigra,e^(B0 + (ln(DBH) * B1)),2.426,0.6078,,,,,,
Species,Juniperus virginiana,e^(B0 + (ln(DBH) * B1)),2.2621,0.5944,,,,,,
Species,Lagerstroemia indica,e^(B0 + (ln(DBH) * B1)),2.6184,0.1761,,,,,,
Species,Liquidambar styraciflua,B0 + (DBH * B1) + (DBH^2 * B2),10.193,6.0733,-0.1317,,,,,
Species,Liriodendron tulipifera,B0 + (ln(DBH) * B1),4.2684,27.5937,,,,,,
Species,Magnolia grandiflora,e^(B0 + (ln(DBH) * B1)),2.5784,0.457,,,,,,
Species,Malus pumila,e^(B0 + (ln(DBH) * B1)),2.3415,0.3107,,,,,,
Species,Morus alba,e^(B0 + (ln(DBH) * B1)),2.4252,0.4958,,,,,,
Species,Morus rubra,e^(B0 + (ln(DBH) * B1)),2.4371,0.4384,,,,,,
Species,Picea abies,B0 + (ln(DBH) * B1),-6.4857,22.4012,,,,,,
Species,Picea glauca,e^(B0 + (ln(DBH) * B1)),2.1318,0.6375,,,,,,
Species,Picea pungens,e^(B0 + (ln(DBH) * B1)),1.7763,0.7273,,,,,,
Species,Pinus elliottii,B0 + (ln(DBH) * B1),-19.9031,37.2196,,,,,,
Species,Pinus nigra,B0 + (DBH * B1) + (DBH^2 * B2),7.7851,2.8191,-0.0616,,,,,
Species,Pinus radiata,e^(B0 + (ln(DBH) * B1)),2.1094,0.5924,,,,,,
Species,Pinus strobus,B0 + (DBH * B1) + (DBH^2 * B2),3.7779,3.9924,-0.0284,,,,,
Species,Pinus taeda,B0 + (DBH * B1) + (DBH^2 * B2),3.6528,6.7587,-0.15,,,,,
Species,Pinus virginiana,e(B0 + (ln(DBH) * B1)),2.0008,0.7644,,,,,,
Species,Platanus hybrida,e^(B0 + (ln(DBH) * B1)),2.2615,0.5779,,,,,,
Species,Platanus occidentalis,e^(B0 + (ln(DBH) * B1)),2.6718,0.5512,,,,,,
Species,Populus balsamifera,B0 + (ln(DBH) * B1),0.5398,23.3071,,,,,,
Species,Populus deltoides,B0 + (DBH * B1) + (DBH^2 * B2),5.0638,6.2902,-0.1315,,,,,
