"species_scientific","order","family","genus"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Ulmus americana","Rosales","Ulmaceae","Ulmus"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Celtis occidentalis","Rosales","Cannabaceae","Celtis"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Quercus bicolor","Fagales","Fagaceae","Quercus"
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Maackia amurensis","Fabales","Fabaceae","Maackia"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Prunus x yedoensis","Rosales","Rosaceae","Prunus"
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Ulmus americana","Rosales","Ulmaceae","Ulmus"
"Ailanthus altissima","Sapindales","Simaroubaceae","Ailanthus"
"Acer campestre","Sapindales","Sapindaceae","Acer"
"Robinia pseudoacacia","Fabales","Fabaceae","Robinia"
"Liquidambar styraciflua","Saxifragales","Altingiaceae","Liquidambar"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Syringa reticulata","Lamiales","Oleaceae","Syringa"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Prunus serrulata","Rosales","Rosaceae","Prunus"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Maackia amurensis","Fabales","Fabaceae","Maackia"
"Quercus alba","Fagales","Fagaceae","Quercus"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Celtis occidentalis","Rosales","Cannabaceae","Celtis"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Maackia amurensis","Fabales","Fabaceae","Maackia"
"Quercus acutissima","Fagales","Fagaceae","Quercus"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Prunus serrulata","Rosales","Rosaceae","Prunus"
"Acer rubrum","Sapindales","Sapindaceae","Acer"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Cladrastis kentukea","Fabales","Fabaceae","Cladrastis"
"Tilia mongolica","Malvales","Malvaceae","Tilia"
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Cercis canadensis","Fabales","Fabaceae","Cercis"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Tilia americana","Malvales","Malvaceae","Tilia"
"Gymnocladus dioicus","Fabales","Fabaceae","Gymnocladus"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Tilia tomentosa","Malvales","Malvaceae","Tilia"
"Acer platanoides","Sapindales","Sapindaceae","Acer"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Ginkgo biloba","Ginkgoales","Ginkgoaceae","Ginkgo"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Tilia americana","Malvales","Malvaceae","Tilia"
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Acer rubrum","Sapindales","Sapindaceae","Acer"
"Platanus occidentalis","Proteales","Platanaceae","Platanus"
"Acer","Sapindales","Sapindaceae","Acer"
"Quercus muehlenbergii","Fagales","Fagaceae","Quercus"
"Prunus x yedoensis","Rosales","Rosaceae","Prunus"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Prunus serrulata","Rosales","Rosaceae","Prunus"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Koelreuteria paniculata","Sapindales","Sapindaceae","Koelreuteria"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Catalpa","Lamiales","Bignoniaceae","Catalpa"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Ginkgo biloba","Ginkgoales","Ginkgoaceae","Ginkgo"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Tilia americana","Malvales","Malvaceae","Tilia"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Fraxinus pennsylvanica","Lamiales","Oleaceae","Fraxinus"
"Quercus bicolor","Fagales","Fagaceae","Quercus"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Acer platanoides","Sapindales","Sapindaceae","Acer"
"Pyrus calleryana","Rosales","Rosaceae","Pyrus"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Taxodium distichum","Pinales","Cupressaceae","Taxodium"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Ostrya virginiana","Fagales","Betulaceae","Ostrya"
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Quercus coccinea","Fagales","Fagaceae","Quercus"
"Ostrya virginiana","Fagales","Betulaceae","Ostrya"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Acer saccharinum","Sapindales","Sapindaceae","Acer"
"Tilia tomentosa","Malvales","Malvaceae","Tilia"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Prunus serrulata","Rosales","Rosaceae","Prunus"
"Acer platanoides","Sapindales","Sapindaceae","Acer"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Metasequoia glyptostroboides","Pinales","Cupressaceae","Metasequoia"
"Tilia cordata","Malvales","Malvaceae","Tilia"
"Quercus rubra","Fagales","Fagaceae","Quercus"
"Platanus x acerifolia","Proteales","Platanaceae","Platanus"
"Tilia americana","Malvales","Malvaceae","Tilia"
"Quercus palustris","Fagales","Fagaceae","Quercus"
"Gleditsia triacanthos var. inermis","Fabales","Fabaceae",NA
"Zelkova serrata","Rosales","Ulmaceae","Zelkova"
"Acer rubrum","Sapindales","Sapindaceae","Acer"
