storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration
SW0535,4/4/2018 05:00 PM,High Wind Event,Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Bronx",2 hours
SW0536,4/16/2018 06:23 AM,"Flash/Inland Flooding, Heavy Rain, High Wind Event",Thunderstorms,"High Winds, Coastal Flooding, Flash Flooding","Brooklyn, Manhattan, Queens","14 hours, 37 minutes"
SW0537,5/15/2018 04:20 PM,Tornado Event,Thunderstorms,"High Winds, Tornado","Queens, Brooklyn","1 hour, 15 minutes"
SW0538,6/28/2018 05:38 PM,Flash Flood Event,Thunderstorms,Flash Flooding,Queens,41 minutes
SW0651,7/27/2018 04:39 PM,"Heavy Rain, Flash/Inland Flooding Event",Thunderstorms,Flash Flooding,Staten Island,"1 day, 1 hour"
SW0653,10/27/2018 12:00 AM,Nor'Easter,Winter Weather,"High Winds, Coastal Flooding","Queens, Staten Island, Bronx, Brooklyn, Manhattan","1 day, 23 hours"
SW0759,3/4/2019 12:00 AM,Heavy Snow Event,Winter Weather,Heavy Snow,"Manhattan, Brooklyn, Bronx, Queens, Staten Island",1 day
SW0760,11/15/2018 12:00 AM,Winter Storm Avery,Winter Weather,"Heavy Snow, High Winds, Coastal Flooding",Staten Island,1 day
SW0761,1/2/2016 03:59 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,"Staten Island, Queens, Bronx, Brooklyn, Manhattan",1 day
SW0764,6/1/2016 10:30 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0765,6/24/2016 11:59 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0766,6/8/2016 12:59 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0767,7/22/2016 11:52 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0768,8/20/2016 03:51 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0769,1/23/2015 06:54 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0770,2/28/2015 12:59 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0771,3/2/2015 02:55 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Brooklyn,1 day
SW0772,3/4/2015 06:57 PM,Heavy Rain Event,Winter Weather,Heavy Snow,Staten Island,"1 day, 26 minutes"
SW0773,4/4/2015 08:29 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0774,5/30/2015 06:45 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0775,8/4/2015 10:45 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0776,8/21/2015 05:51 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0810,1/13/2016 12:47 AM,High Wind Event,Winter Weather,High Winds,Bronx,1 day
SW0811,1/20/2016 03:51 AM,High Wind Event,Winter Weather,High Winds,Queens,1 day
SW0814,10/23/2016 01:54 PM,High Wind Event,Thunderstorms,High Winds,Brooklyn,1 day
SW0815,11/20/2016 02:54 PM,High Wind Event,Winter Weather,High Winds,Brooklyn,"1 day, 19 hours"
SW0838,2/13/2016 10:54 AM,High Wind Event,Winter Weather,High Winds,Brooklyn,6 hours
SW0844,3/2/2016 07:54 AM,High Wind Event,Winter Weather,High Winds,Brooklyn,1 day
SW0850,4/7/2016 12:59 PM,High Wind Event,Winter Weather,High Winds,Queens,1 day
SW0853,6/12/2016 11:54 AM,High Wind Event,Thunderstorms,High Winds,Brooklyn,1 hour
SW0946,1/23/2017 02:30 PM,Heavy Rain Event,Thunderstorms,"Coastal Flooding, Flash Flooding, High Winds","Queens, Staten Island",1 day
SW0947,3/1/2017 07:30 PM,Heavy Rain Event,Thunderstorms,"High Winds, Flash Flooding",Staten Island,1 day
SW0948,3/19/2017 04:25 PM,Heavy Snow Event,Winter Weather,Heavy Snow,Staten Island,1 day
SW0949,3/23/2017 02:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0950,3/30/2017 01:25 PM,Heavy Rain Event,Thunderstorms,"Flash Flooding, Coastal Flooding",Staten Island,1 day
SW0951,4/2/2017 02:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,"1 day, 1 hour"
SW0953,4/8/2017 02:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0954,4/11/2017 03:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0955,4/18/2017 02:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0959,4/29/2017 05:58 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0961,5/8/2017 03:25 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,"1 day, 23 hours"
SW0962,6/24/2017 06:54 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,5 minutes
SW0963,7/7/2017 10:54 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Staten Island,1 day
SW0964,7/11/2017 12:30 PM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0967,6/1/2018 08:51 AM,Heavy Rain Event,Thunderstorms,Flash Flooding,Queens,1 day
SW0968,3/22/2017 10:55 AM,High Wind Event,Winter Weather,High Winds,Queens,1 day
SW0969,1/30/2018 07:54 PM,High Wind Event,Winter Weather,"High Winds, Coastal Flooding",Brooklyn,1 day
SW0970,2/2/2018 10:54 AM,High Wind Event,Winter Weather,High Winds,Brooklyn,1 day
SW0971,1/26/2017 03:54 PM,High Wind Event,Winter Weather,High Winds,Brooklyn,1 day
SW0973,3/9/2017 09:54 AM,High Wind Event,Winter Weather,High Winds,Brooklyn,1 day
SW0974,10/3/2017 10:42 PM,High Wind Event,Winter Weather,High Winds,"Brooklyn, Queens",1 day
SW1734,1/21/2019 12:00 AM,Extreme Cold Event,Winter Weather,"Coastal Flooding, High Winds, Extreme Cold","Staten Island, Queens, Bronx, Brooklyn, Manhattan",1 day
SW1735,1/31/2019 12:00 AM,Extreme Cold Event,Winter Weather,"Extreme Cold, High Winds","Manhattan, Brooklyn, Bronx, Queens, Staten Island",1 day
SW1736,7/17/2018 01:45 PM,"Flash/Inland Flooding, Funnel Cloud Event",Thunderstorms,Flash Flooding,"Brooklyn, Manhattan",1 day
SW1737,8/4/2018 10:30 AM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,Bronx,1 day
SW1738,8/7/2018 12:00 AM,"Lightning, Flash/Inland Flooding Event",Thunderstorms,Flash Flooding,Queens,1 day
SW1739,8/11/2018 07:28 AM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,"Queens, Manhattan",1 day
SW1741,9/25/2018 12:22 PM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,"Queens, Bronx",1 day
SW1742,9/28/2018 05:05 AM,Flash/Inland Flooding Event,Thunderstorms,Flash Flooding,"Queens, Staten Island",1 day
SW1743,12/21/2018 03:00 AM,"High Winds, Flash/Inland Flooding Event",Winter Weather,High Winds,Queens,1 day
SW1744,1/10/2019 10:00 AM,High Winds Event,Winter Weather,High Winds,Queens,1 day
SW1745,1/20/2019 07:00 AM,"Coastal Flooding, High Winds Event",Winter Weather,"High Winds, Coastal Flooding",Queens,1 day
SW1746,1/24/2019 10:00 AM,High Winds Event,Winter Weather,High Winds,"Queens, Staten Island, Brooklyn",1 day
SW1747,1/30/2019 02:00 PM,January 2019 Squall,Winter Weather,High Winds,"Brooklyn, Bronx, Manhattan, Staten Island, Queens",1 day
SW1748,2/25/2019 12:00 AM,High Winds Event,Winter Weather,High Winds,"Queens, Staten Island, Manhattan, Brooklyn",1 day
